epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.585,1.53546,5.32627,0.97164,0.33439,0.26583,0.16353,0.07445,1.61476,1.99714,1.28971,0.000665331,0.000665331,0.000665331
2,228.308,1.69069,1.98162,1.05404,0.32773,0.23786,0.16012,0.05822,1.93837,2.51641,1.27392,0.00130562,0.00130562,0.00130562
3,340.106,1.75083,2.1526,1.08354,0.23972,0.25728,0.11602,0.03475,2.04347,3.73803,1.30213,0.00191952,0.00191952,0.00191952
4,451.627,1.71404,2.02204,1.07914,0.31511,0.15049,0.13648,0.05297,1.46037,1.94717,0.98859,0.0018812,0.0018812,0.0018812
5,563.03,1.59512,1.78965,1.01285,0.33335,0.29126,0.27435,0.12343,1.64235,1.94768,1.13375,0.0018416,0.0018416,0.0018416
6,674.811,1.55551,1.59182,0.99227,0.3376,0.30583,0.27134,0.10933,1.69502,1.70673,1.12394,0.001802,0.001802,0.001802
7,786.093,1.47691,1.4253,0.95113,0.46481,0.30583,0.29824,0.12445,1.64705,2.10283,1.11978,0.0017624,0.0017624,0.0017624
8,897.606,1.45954,1.4807,0.95949,0.51503,0.41748,0.42294,0.18328,1.60183,1.40109,1.10449,0.0017228,0.0017228,0.0017228
9,1009.3,1.45966,1.43406,0.96752,0.51848,0.31068,0.35894,0.16096,1.6325,1.57335,1.10206,0.0016832,0.0016832,0.0016832
10,1121.21,1.47414,1.4417,0.95523,0.69491,0.35922,0.45933,0.2264,1.49417,1.51179,1.03149,0.0016436,0.0016436,0.0016436
11,1233.1,1.46476,1.4893,0.95446,0.47349,0.35437,0.37841,0.18734,1.48565,1.5848,1.00928,0.001604,0.001604,0.001604
12,1345.08,1.42799,1.36127,0.94608,0.43536,0.33312,0.34748,0.1572,1.5768,1.53326,1.08975,0.0015644,0.0015644,0.0015644
13,1456.82,1.33938,1.28054,0.87936,0.49487,0.33981,0.36791,0.16234,1.56425,1.6769,1.03239,0.0015248,0.0015248,0.0015248
14,1568.47,1.42288,1.33732,0.91349,0.46241,0.40291,0.38969,0.15676,1.65245,1.46282,1.09429,0.0014852,0.0014852,0.0014852
15,1680.06,1.31924,1.2398,0.87289,0.5209,0.36408,0.40617,0.18749,1.4672,1.4944,1.03049,0.0014456,0.0014456,0.0014456
16,1792.13,1.30964,1.26942,0.87452,0.64952,0.31553,0.41641,0.19107,1.53564,1.45637,1.04097,0.001406,0.001406,0.001406
17,1903.58,1.25481,1.21336,0.84426,0.37612,0.3301,0.33818,0.17414,1.51926,1.79113,1.05199,0.0013664,0.0013664,0.0013664
18,2015.1,1.32512,1.29306,0.87909,0.66715,0.34951,0.46042,0.22547,1.48255,1.44097,1.00968,0.0013268,0.0013268,0.0013268
19,2126.45,1.26224,1.18242,0.84934,0.64897,0.30583,0.39308,0.20348,1.46423,1.49139,1.0342,0.0012872,0.0012872,0.0012872
20,2237.75,1.27657,1.16768,0.86784,0.55573,0.33981,0.44829,0.23437,1.46633,1.5577,0.99327,0.0012476,0.0012476,0.0012476
21,2349.56,1.28564,1.1174,0.87185,0.58832,0.47573,0.49286,0.23686,1.47475,1.39773,1.01547,0.001208,0.001208,0.001208
22,2461.25,1.26367,1.14395,0.84164,0.50494,0.3835,0.44445,0.20749,1.44518,1.3257,0.9819,0.0011684,0.0011684,0.0011684
23,2572.96,1.24933,1.11159,0.83726,0.52497,0.46117,0.47549,0.23689,1.47031,1.33161,0.98554,0.0011288,0.0011288,0.0011288
24,2684.4,1.25504,1.07749,0.86883,0.61843,0.3835,0.48062,0.24141,1.45502,1.27028,0.99063,0.0010892,0.0010892,0.0010892
25,2796.26,1.24673,1.06822,0.86825,0.71746,0.36408,0.46516,0.23293,1.44286,1.38759,0.98689,0.0010496,0.0010496,0.0010496
26,2907.58,1.19886,1.01631,0.81384,0.71655,0.37379,0.49356,0.23616,1.43418,1.33087,0.99724,0.00101,0.00101,0.00101
27,3018.96,1.15869,1.00665,0.79049,0.53519,0.45146,0.48225,0.24791,1.4313,1.3506,0.97676,0.0009704,0.0009704,0.0009704
28,3130.69,1.2637,1.05682,0.85512,0.58726,0.36609,0.47815,0.23549,1.39018,1.38261,0.98349,0.0009308,0.0009308,0.0009308
29,3242.49,1.20128,1.02003,0.82245,0.54567,0.39064,0.4798,0.23989,1.40527,1.31432,0.98087,0.0008912,0.0008912,0.0008912
30,3353.86,1.21474,0.94427,0.81916,0.65421,0.40291,0.4829,0.25569,1.40317,1.29763,0.96679,0.0008516,0.0008516,0.0008516
31,3465.55,1.17684,0.99387,0.80842,0.75609,0.4063,0.47166,0.24126,1.33737,1.3614,0.94969,0.000812,0.000812,0.000812
32,3577.4,1.17512,0.97269,0.81034,0.64699,0.41748,0.50259,0.25639,1.33337,1.28679,0.9382,0.0007724,0.0007724,0.0007724
33,3689.07,1.20576,0.96845,0.83615,0.63462,0.40777,0.4978,0.2489,1.38399,1.34707,0.97862,0.0007328,0.0007328,0.0007328
34,3800.68,1.19755,0.98086,0.81353,0.5261,0.43113,0.48371,0.24352,1.39568,1.31682,0.98009,0.0006932,0.0006932,0.0006932
35,3912.6,1.18877,0.94793,0.82691,0.59627,0.49029,0.52694,0.26233,1.37554,1.26134,0.97765,0.0006536,0.0006536,0.0006536
36,4024.39,1.16744,0.9283,0.81359,0.65112,0.45631,0.50608,0.24824,1.35422,1.24535,0.969,0.000614,0.000614,0.000614
37,4136.11,1.12546,0.89851,0.81329,0.67196,0.40291,0.5078,0.25999,1.35578,1.28615,0.96044,0.0005744,0.0005744,0.0005744
38,4248.05,1.17791,0.9477,0.82344,0.62391,0.45631,0.525,0.26804,1.34204,1.20106,0.95934,0.0005348,0.0005348,0.0005348
