epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6186,1.99782,4.10694,0.93711,0.63467,0.33734,0.40082,0.1315,2.0787,1.40533,1.10648,0.000664,0.000664,0.000664
2,59.9934,2.16966,1.52095,0.99219,0.50327,0.33981,0.32474,0.10162,2.24424,1.35696,1.10606,0.00119893,0.00119893,0.00119893
3,90.8051,2.05014,1.41771,1.00717,0.57131,0.41748,0.43874,0.15456,1.98454,1.76109,1.03972,0.00160186,0.00160186,0.00160186
4,114.383,2.11605,1.30424,1.05505,0.58065,0.48058,0.51181,0.19371,1.88546,1.12652,0.98544,0.001406,0.001406,0.001406
5,145.305,1.97524,1.22691,0.97698,0.46749,0.4466,0.43652,0.16535,1.95781,1.1509,0.98285,0.001208,0.001208,0.001208
6,175.369,1.9279,1.18968,0.93797,0.48893,0.49515,0.47621,0.1971,1.79348,1.12265,0.94938,0.00101,0.00101,0.00101
7,200.355,1.85285,1.13669,0.90815,0.6322,0.56796,0.56803,0.21104,1.79811,1.14866,0.9542,0.000812,0.000812,0.000812
8,231.533,1.88719,1.11306,0.92132,0.6488,0.53883,0.56521,0.23041,1.75692,1.09017,0.931,0.000614,0.000614,0.000614
9,255.052,1.72713,0.98017,0.88452,0.58473,0.54,0.56658,0.24095,1.64278,1.02697,0.88587,0.000416,0.000416,0.000416
10,286.046,1.66275,1.08035,0.87639,0.58726,0.5534,0.5764,0.26758,1.62502,1.0345,0.88976,0.000218,0.000218,0.000218
