epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5732,2.04566,7.63413,1.31566,0.48876,0.37593,0.3754,0.15628,1.87672,1.59401,1.27819,0.000663551,0.000663551,0.000663551
2,160.608,2.13967,2.14675,1.41604,0.42541,0.41748,0.37778,0.15812,1.84142,2.67004,1.2325,0.00119853,0.00119853,0.00119853
3,233.898,2.00857,1.92052,1.3282,0.38838,0.49029,0.3883,0.16367,1.94202,1.80678,1.283,0.0016015,0.0016015,0.0016015
4,304.967,1.98698,1.61658,1.33546,0.4658,0.50485,0.46125,0.20803,1.64226,1.4044,1.13419,0.001406,0.001406,0.001406
5,376.434,1.98217,1.46822,1.31811,0.59578,0.56311,0.53134,0.22706,1.74539,1.36516,1.17153,0.001208,0.001208,0.001208
6,447.469,1.87993,1.3969,1.31314,0.64227,0.51456,0.51558,0.20273,1.76083,1.90574,1.16768,0.00101,0.00101,0.00101
7,515.617,1.75864,1.53525,1.23796,0.66994,0.60194,0.57347,0.25289,1.63238,1.21124,1.11554,0.000812,0.000812,0.000812
8,586.192,1.75166,1.23283,1.1988,0.59553,0.5,0.56853,0.2634,1.66696,1.21576,1.13848,0.000614,0.000614,0.000614
9,657.527,1.67776,1.17425,1.17726,0.65384,0.63267,0.63687,0.28652,1.56124,1.09193,1.08183,0.000416,0.000416,0.000416
10,724.946,1.59173,1.18332,1.11022,0.68081,0.62123,0.6476,0.31106,1.57829,1.11812,1.10652,0.000218,0.000218,0.000218
