epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30283,2.27421,11.3915,1.16647,0.30373,0.29219,0.18915,0.07975,1.96018,5.40895,0.96156,4e-05,4e-05,4e-05
2,10.4399,2.20791,8.06099,1.0407,0.29164,0.29717,0.18307,0.07713,1.97702,5.45911,0.96044,9.901e-05,9.901e-05,9.901e-05
3,13.1494,2.32628,8.846,0.98087,0.00119,0.05189,0.00061,0.00029,2.06299,5.96543,1.00112,0.000156832,0.000156832,0.000156832
4,16.149,2.38483,6.45862,0.98944,0.10326,0.20283,0.04746,0.01817,1.98168,11.1288,1.00379,0.000213466,0.000213466,0.000213466
5,19.0624,2.6466,6.1097,1.13656,0.01433,0.20755,0.00778,0.00311,2.25448,31.6393,1.0529,0.000268912,0.000268912,0.000268912
6,22.3954,2.23357,4.56937,1.09278,0.00801,0.08962,0.00378,0.0017,2.09794,58.1827,1.04571,0.00032317,0.00032317,0.00032317
7,27.2614,2.01917,3.2122,0.91154,0.01025,0.42925,0.00729,0.00305,2.14669,inf,1.08714,0.00037624,0.00037624,0.00037624
8,32.2293,2.42034,4.40728,1.06307,0.00036,0.01415,0.00016,8e-05,2.49532,inf,1.09954,0.000428122,0.000428122,0.000428122
9,37.0915,2.16237,3.6129,1.00806,0.00654,0.16981,0.00393,0.00172,2.36035,109.802,1.0981,0.000478816,0.000478816,0.000478816
10,41.305,2.1033,2.39032,1.00253,0.00362,0.13208,0.00176,0.0007,2.40449,inf,1.25023,0.000528322,0.000528322,0.000528322
11,46.0276,2.17611,2.03631,0.96552,0.01348,0.2783,0.00728,0.00277,2.37481,inf,1.15854,0.00057664,0.00057664,0.00057664
12,51.0208,1.90076,1.87738,0.90511,0.04577,0.31132,0.02272,0.00759,2.39242,125.715,1.22769,0.00062377,0.00062377,0.00062377
13,56.4301,2.08574,1.80087,0.94934,0.15221,0.19811,0.05238,0.01817,2.40632,20.2005,1.23204,0.000669712,0.000669712,0.000669712
14,61.4412,1.95399,2.04801,0.90411,0.00631,0.11321,0.00325,0.00129,2.55091,38.3396,1.25057,0.000714466,0.000714466,0.000714466
15,66.3737,2.12973,1.91442,0.98807,0.12657,0.24057,0.054,0.01922,2.38239,9.15223,1.30972,0.000758032,0.000758032,0.000758032
16,71.5286,2.03691,1.62895,1.05562,0.16993,0.32547,0.08724,0.03286,2.257,5.83137,1.2421,0.00080041,0.00080041,0.00080041
17,77.0862,2.14298,1.44828,0.9632,0.1088,0.17453,0.04208,0.01337,2.51565,5.0346,1.20283,0.0008416,0.0008416,0.0008416
18,81.8358,1.87485,1.55358,1.00131,0.05576,0.27358,0.02591,0.00867,2.39065,37.3998,1.13329,0.000881602,0.000881602,0.000881602
19,86.5692,2.00866,1.48257,0.95616,0.00367,0.14151,0.00198,0.00072,2.407,inf,1.1776,0.000920416,0.000920416,0.000920416
20,91.4348,1.89466,1.27146,1.0104,0.00156,0.07075,0.00084,0.00025,2.61252,inf,1.59399,0.000958042,0.000958042,0.000958042
21,96.1991,2.02315,1.40578,1.07355,0.00167,0.07547,0.00091,0.00025,2.60979,359.695,1.3203,0.00099448,0.00099448,0.00099448
22,100.813,1.98345,1.54428,0.92293,0.31474,0.24057,0.14567,0.05062,2.38584,2.34059,1.33131,0.00102973,0.00102973,0.00102973
23,105.142,2.23766,1.3286,0.92988,0.31474,0.24057,0.14567,0.05062,2.38584,2.34059,1.33131,0.00106379,0.00106379,0.00106379
24,109.519,2.08352,1.30095,0.92092,0.11182,0.34906,0.05515,0.01889,2.42468,69.3906,1.17947,0.00109667,0.00109667,0.00109667
25,113.708,1.77755,1.12097,0.94446,0.04068,0.34906,0.02189,0.00722,2.45243,228.224,1.23717,0.00112835,0.00112835,0.00112835
26,118.477,1.75004,1.10523,0.93054,0.05262,0.36792,0.03054,0.00955,2.46843,116.548,1.25552,0.00115885,0.00115885,0.00115885
27,122.595,1.96003,1.05684,0.91534,0.05262,0.36792,0.03054,0.00955,2.46843,116.548,1.25552,0.00118816,0.00118816,0.00118816
28,126.857,1.9081,1.07532,0.89602,0.15794,0.41671,0.08282,0.02453,2.47879,19.2083,1.31834,0.00121628,0.00121628,0.00121628
29,131.575,1.91502,1.01825,0.89361,0.15794,0.41671,0.08282,0.02453,2.47879,19.2083,1.31834,0.00124322,0.00124322,0.00124322
30,136.29,2.06746,1.30776,0.95421,0.02764,0.30189,0.01453,0.00497,2.58552,132.391,1.35358,0.00126896,0.00126896,0.00126896
31,140.229,1.95209,1.20384,0.98051,0.0054,0.19811,0.00305,0.00104,2.40495,inf,1.26788,0.00129352,0.00129352,0.00129352
32,144.768,1.912,1.0498,0.93123,0.0054,0.19811,0.00305,0.00104,2.40495,inf,1.26788,0.00131689,0.00131689,0.00131689
33,149.285,1.83406,1.0336,0.96341,0.00735,0.17453,0.00391,0.00149,2.28158,198.419,1.22385,0.00133907,0.00133907,0.00133907
34,153.768,1.90376,0.98668,0.95317,0.00735,0.17453,0.00391,0.00149,2.28158,198.419,1.22385,0.0013466,0.0013466,0.0013466
35,158.382,1.58754,0.99061,0.8796,0.02237,0.41509,0.01366,0.00517,2.36688,70.9244,1.27437,0.0013268,0.0013268,0.0013268
36,163.369,1.83316,1.07851,0.91724,0.08319,0.27358,0.03874,0.01231,2.5606,20.3092,1.32801,0.001307,0.001307,0.001307
37,168.15,1.7168,0.87451,0.91861,0.08319,0.27358,0.03874,0.01231,2.5606,20.3092,1.32801,0.0012872,0.0012872,0.0012872
38,172.695,2.09219,1.02743,0.92099,0.02149,0.26887,0.01162,0.00417,2.45607,57.0419,1.20658,0.0012674,0.0012674,0.0012674
39,177.336,2.44353,1.34493,0.97383,0.02149,0.26887,0.01162,0.00417,2.45607,57.0419,1.20658,0.0012476,0.0012476,0.0012476
40,181.991,2.03964,0.94563,1.00091,0.03074,0.4434,0.0214,0.00717,2.34938,174.012,1.15268,0.0012278,0.0012278,0.0012278
41,186.524,2.08638,0.95836,0.96292,0.03642,0.52358,0.02521,0.009,2.25727,146.031,1.15264,0.001208,0.001208,0.001208
42,190.949,1.97439,0.97674,0.92959,0.03642,0.52358,0.02521,0.009,2.25727,146.031,1.15264,0.0011882,0.0011882,0.0011882
43,195.484,1.86599,0.89793,0.88899,0.04282,0.51415,0.03141,0.0115,2.19023,85.5647,1.14778,0.0011684,0.0011684,0.0011684
44,199.914,1.8892,0.97296,0.92389,0.04282,0.51415,0.03141,0.0115,2.19023,85.5647,1.14778,0.0011486,0.0011486,0.0011486
45,204.364,1.78952,0.90287,0.89973,0.04914,0.49057,0.03403,0.01234,2.2697,80.1318,1.13552,0.0011288,0.0011288,0.0011288
46,208.967,1.70131,0.85403,0.85909,0.07078,0.44811,0.04656,0.0159,2.29997,32.6596,1.16242,0.001109,0.001109,0.001109
47,213.346,1.5903,0.92666,0.91462,0.07078,0.44811,0.04656,0.0159,2.29997,32.6596,1.16242,0.0010892,0.0010892,0.0010892
48,217.662,1.82628,0.82638,0.89201,0.11214,0.34906,0.06736,0.02338,2.28344,10.9614,1.17763,0.0010694,0.0010694,0.0010694
49,221.921,1.86332,0.9108,0.92856,0.11214,0.34906,0.06736,0.02338,2.28344,10.9614,1.17763,0.0010496,0.0010496,0.0010496
50,226.082,1.57944,0.8316,0.9392,0.30953,0.38679,0.20456,0.07114,2.22564,2.66962,1.1689,0.0010298,0.0010298,0.0010298
51,228.922,1.58441,0.7648,0.84301,0.6305,0.48113,0.50614,0.18645,2.17057,1.63285,1.14313,0.00101,0.00101,0.00101
52,231.761,1.4526,0.83477,0.88688,0.6305,0.48113,0.50614,0.18645,2.17057,1.63285,1.14313,0.0009902,0.0009902,0.0009902
53,234.669,1.91202,0.94952,0.86979,0.6916,0.47601,0.51719,0.19756,2.1571,1.30658,1.13851,0.0009704,0.0009704,0.0009704
54,237.572,1.65006,0.8019,0.87057,0.6916,0.47601,0.51719,0.19756,2.1571,1.30658,1.13851,0.0009506,0.0009506,0.0009506
55,240.523,1.74636,0.90234,0.88733,0.60288,0.47264,0.47713,0.18818,2.15163,1.1699,1.12873,0.0009308,0.0009308,0.0009308
56,243.414,1.59055,0.77836,0.83667,0.6436,0.48585,0.49353,0.1946,2.09142,1.12765,1.12327,0.000911,0.000911,0.000911
57,246.259,1.70547,0.90349,0.87529,0.6436,0.48585,0.49353,0.1946,2.09142,1.12765,1.12327,0.0008912,0.0008912,0.0008912
58,249.089,1.79028,0.87609,0.95615,0.58529,0.47642,0.43479,0.16657,2.17948,1.35454,1.1449,0.0008714,0.0008714,0.0008714
59,251.897,1.86448,0.83456,0.85289,0.58529,0.47642,0.43479,0.16657,2.17948,1.35454,1.1449,0.0008516,0.0008516,0.0008516
60,254.733,1.4392,0.79748,0.86394,0.6934,0.47642,0.52145,0.19817,2.163,1.42816,1.14729,0.0008318,0.0008318,0.0008318
61,257.619,1.72376,0.84617,0.88458,0.4388,0.40566,0.34388,0.12985,2.17153,1.75736,1.16625,0.000812,0.000812,0.000812
62,261.469,1.52766,0.76178,0.86224,0.4388,0.40566,0.34388,0.12985,2.17153,1.75736,1.16625,0.0007922,0.0007922,0.0007922
63,266.296,1.83836,0.85613,0.82632,0.57213,0.44811,0.38752,0.14166,2.19579,1.50747,1.18655,0.0007724,0.0007724,0.0007724
64,270.874,1.72853,0.8541,0.85392,0.57213,0.44811,0.38752,0.14166,2.19579,1.50747,1.18655,0.0007526,0.0007526,0.0007526
65,275.137,1.72963,0.76117,0.88208,0.69842,0.43697,0.4914,0.19429,2.19574,1.28232,1.17474,0.0007328,0.0007328,0.0007328
66,279.437,1.56427,0.80129,0.89482,0.61824,0.54245,0.51819,0.19791,2.20826,1.2244,1.16293,0.000713,0.000713,0.000713
67,283.713,1.5121,0.74788,0.84376,0.61824,0.54245,0.51819,0.19791,2.20826,1.2244,1.16293,0.0006932,0.0006932,0.0006932
68,288.371,1.48014,0.6694,0.8658,0.66555,0.54245,0.5582,0.20054,2.17814,1.23815,1.16371,0.0006734,0.0006734,0.0006734
69,293.177,1.59573,0.68452,0.83257,0.66555,0.54245,0.5582,0.20054,2.17814,1.23815,1.16371,0.0006536,0.0006536,0.0006536
70,297.607,1.71557,0.81217,0.91757,0.67294,0.5435,0.55972,0.20948,2.10157,1.25459,1.13622,0.0006338,0.0006338,0.0006338
71,302.139,1.51528,0.7335,0.88982,0.69688,0.53302,0.54347,0.21076,2.15261,1.23496,1.15007,0.000614,0.000614,0.000614
72,306.752,1.68213,0.73239,0.87039,0.69688,0.53302,0.54347,0.21076,2.15261,1.23496,1.15007,0.0005942,0.0005942,0.0005942
73,310.135,1.48267,0.67198,0.85262,0.72943,0.5,0.52765,0.1993,2.26409,1.19299,1.15116,0.0005744,0.0005744,0.0005744
74,312.943,1.78641,0.83366,0.85815,0.72943,0.5,0.52765,0.1993,2.26409,1.19299,1.15116,0.0005546,0.0005546,0.0005546
75,315.799,1.55627,0.69813,0.85658,0.7221,0.5,0.54981,0.20801,2.1844,1.14342,1.12004,0.0005348,0.0005348,0.0005348
76,318.643,1.52118,0.71439,0.86158,0.62377,0.56604,0.55394,0.21608,2.10113,1.17504,1.10333,0.000515,0.000515,0.000515
77,321.511,1.66065,0.75959,0.84271,0.62377,0.56604,0.55394,0.21608,2.10113,1.17504,1.10333,0.0004952,0.0004952,0.0004952
78,324.43,1.4702,0.78707,0.87549,0.62426,0.54074,0.54126,0.20801,2.12714,1.22196,1.08567,0.0004754,0.0004754,0.0004754
79,327.252,1.57844,0.70147,0.82797,0.62426,0.54074,0.54126,0.20801,2.12714,1.22196,1.08567,0.0004556,0.0004556,0.0004556
80,330.095,1.73314,0.76126,0.86675,0.65854,0.54583,0.5571,0.22341,2.09996,1.22329,1.07688,0.0004358,0.0004358,0.0004358
81,333.063,1.80269,0.89258,0.86593,0.66871,0.5566,0.56484,0.22393,2.12483,1.21553,1.07702,0.000416,0.000416,0.000416
82,336.063,1.43208,0.74004,0.85901,0.66871,0.5566,0.56484,0.22393,2.12483,1.21553,1.07702,0.0003962,0.0003962,0.0003962
83,339.111,1.68761,0.69988,0.84635,0.64949,0.58019,0.56312,0.22408,2.14436,1.22566,1.0818,0.0003764,0.0003764,0.0003764
84,342.49,1.69073,0.76092,0.8661,0.64949,0.58019,0.56312,0.22408,2.14436,1.22566,1.0818,0.0003566,0.0003566,0.0003566
85,347.394,1.48372,0.73624,0.8509,0.66682,0.54245,0.56858,0.22419,2.12457,1.21716,1.06915,0.0003368,0.0003368,0.0003368
86,352.077,1.45191,0.64862,0.84474,0.63214,0.51876,0.5432,0.21476,2.12418,1.2228,1.06471,0.000317,0.000317,0.000317
87,356.348,1.45845,0.71796,0.90058,0.63214,0.51876,0.5432,0.21476,2.12418,1.2228,1.06471,0.0002972,0.0002972,0.0002972
88,360.6,1.40026,0.67696,0.85559,0.66391,0.49528,0.53896,0.21474,2.15482,1.22179,1.07102,0.0002774,0.0002774,0.0002774
89,364.829,1.62767,0.7625,0.84571,0.66391,0.49528,0.53896,0.21474,2.15482,1.22179,1.07102,0.0002576,0.0002576,0.0002576
90,369.287,1.63117,0.69153,0.81451,0.63371,0.5,0.53351,0.2203,2.14775,1.22522,1.06942,0.0002378,0.0002378,0.0002378
91,379.478,1.45907,0.68958,0.80481,0.64779,0.51415,0.53822,0.22051,2.14473,1.22117,1.07413,0.000218,0.000218,0.000218
92,382.441,1.48014,0.68667,0.83396,0.64779,0.51415,0.53822,0.22051,2.14473,1.22117,1.07413,0.0001982,0.0001982,0.0001982
93,385.263,1.50642,0.70196,0.8377,0.65605,0.53983,0.55113,0.21758,2.15874,1.23745,1.08903,0.0001784,0.0001784,0.0001784
94,388.077,1.30715,0.62212,0.83421,0.65605,0.53983,0.55113,0.21758,2.15874,1.23745,1.08903,0.0001586,0.0001586,0.0001586
95,390.892,1.34976,0.68404,0.84285,0.64262,0.52358,0.54269,0.22126,2.14434,1.24465,1.09841,0.0001388,0.0001388,0.0001388
96,393.782,1.30443,0.59279,0.86507,0.6801,0.5,0.55631,0.23101,2.13407,1.27584,1.10424,0.000119,0.000119,0.000119
97,396.883,1.27179,0.62432,0.83653,0.6801,0.5,0.55631,0.23101,2.13407,1.27584,1.10424,9.92e-05,9.92e-05,9.92e-05
98,401.298,1.36292,0.61324,0.83976,0.6766,0.49528,0.55091,0.22697,2.14451,1.30388,1.10617,7.94e-05,7.94e-05,7.94e-05
99,405.563,1.2662,0.64281,0.87174,0.6766,0.49528,0.55091,0.22697,2.14451,1.30388,1.10617,5.96e-05,5.96e-05,5.96e-05
100,410.02,1.33454,0.67013,0.85426,0.70307,0.48113,0.54701,0.22651,2.14259,1.32502,1.10362,3.98e-05,3.98e-05,3.98e-05
