epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4456,1.64216,1.95972,1.11852,0.57599,0.49515,0.4967,0.2373,1.70123,1.37599,1.15644,0.000663551,0.000663551,0.000663551
2,143.557,1.65682,1.05975,1.14649,0.58514,0.5534,0.52581,0.22968,1.697,1.81465,1.1686,0.00131705,0.00131705,0.00131705
3,213.078,1.62996,0.98001,1.14114,0.52306,0.59223,0.44466,0.1774,1.64161,53.9168,1.12163,0.00195735,0.00195735,0.00195735
4,279.793,1.56375,0.89532,1.13324,0.60385,0.59709,0.54337,0.23188,1.65586,1.64226,1.17176,0.0019406,0.0019406,0.0019406
5,346.402,1.50656,0.89323,1.07522,0.68522,0.57282,0.60283,0.27647,1.61378,1.28231,1.11025,0.0019208,0.0019208,0.0019208
6,413.202,1.46956,0.82578,1.08122,0.65081,0.62136,0.56961,0.24733,1.59851,2.27305,1.07896,0.001901,0.001901,0.001901
7,479.883,1.46015,0.78324,1.09348,0.69355,0.65049,0.64651,0.30069,1.59604,1.18282,1.10369,0.0018812,0.0018812,0.0018812
8,546.741,1.44951,0.80818,1.05415,0.72537,0.63592,0.67803,0.33654,1.49896,1.0254,1.04602,0.0018614,0.0018614,0.0018614
9,613.672,1.40203,0.76783,1.06783,0.7351,0.67357,0.65761,0.29634,1.5843,1.08887,1.0784,0.0018416,0.0018416,0.0018416
10,680.528,1.4194,0.76237,1.0568,0.71043,0.66505,0.66654,0.303,1.58397,1.07782,1.07049,0.0018218,0.0018218,0.0018218
11,747.482,1.37237,0.74615,1.05348,0.69445,0.66505,0.69357,0.34027,1.50731,0.97143,1.07295,0.001802,0.001802,0.001802
12,814.389,1.35001,0.7193,1.02,0.68685,0.63107,0.63437,0.30173,1.51589,1.02113,1.07026,0.0017822,0.0017822,0.0017822
13,881.114,1.32603,0.68788,1.03059,0.67188,0.64563,0.62761,0.29931,1.55272,1.19728,1.06537,0.0017624,0.0017624,0.0017624
14,949.54,1.31036,0.69151,1.01916,0.71186,0.69559,0.66425,0.30389,1.61165,1.16182,1.11216,0.0017426,0.0017426,0.0017426
15,1016.12,1.33677,0.72413,1.03681,0.66879,0.63714,0.62535,0.2763,1.57816,1.50698,1.0907,0.0017228,0.0017228,0.0017228
16,1082.65,1.33505,0.74102,1.02801,0.5745,0.66019,0.61986,0.2945,1.57041,2.57666,1.07354,0.001703,0.001703,0.001703
17,1149.26,1.27826,0.66117,1.00575,0.67028,0.71053,0.69537,0.30815,1.53906,1.23901,1.05925,0.0016832,0.0016832,0.0016832
18,1215.84,1.31482,0.70946,1.01653,0.75421,0.64078,0.67428,0.30961,1.57814,1.19192,1.097,0.0016634,0.0016634,0.0016634
19,1282.36,1.2875,0.6927,1.02427,0.66223,0.66505,0.63623,0.30529,1.52734,1.14004,1.06278,0.0016436,0.0016436,0.0016436
20,1348.76,1.29803,0.68137,1.0106,0.72203,0.66828,0.66912,0.30357,1.58896,1.10509,1.08625,0.0016238,0.0016238,0.0016238
21,1415.46,1.24664,0.64905,1.00119,0.73938,0.67961,0.70408,0.33972,1.54612,1.03675,1.09973,0.001604,0.001604,0.001604
22,1484.7,1.25815,0.66221,1.00644,0.65112,0.70388,0.65008,0.32597,1.50297,0.98877,1.09086,0.0015842,0.0015842,0.0015842
23,1551.24,1.22927,0.63196,0.99643,0.77754,0.66171,0.67358,0.32416,1.53367,0.93929,1.08332,0.0015644,0.0015644,0.0015644
24,1617.68,1.2681,0.65787,1.0033,0.7658,0.6699,0.68889,0.32323,1.55386,0.99554,1.11094,0.0015446,0.0015446,0.0015446
25,1684.02,1.20913,0.64495,0.97867,0.68226,0.63592,0.61574,0.29549,1.5788,0.99837,1.12366,0.0015248,0.0015248,0.0015248
26,1750.65,1.2027,0.63663,0.98083,0.72866,0.65179,0.65514,0.31756,1.56664,1.05022,1.07227,0.001505,0.001505,0.001505
27,1817.42,1.23031,0.63492,0.9847,0.73482,0.7233,0.70689,0.33583,1.52381,0.89982,1.06752,0.0014852,0.0014852,0.0014852
28,1883.88,1.20356,0.62826,0.98674,0.72572,0.67961,0.67709,0.31625,1.54078,1.03675,1.057,0.0014654,0.0014654,0.0014654
29,1950.47,1.20446,0.62851,1.00083,0.71433,0.65547,0.62648,0.28754,1.57748,1.06417,1.08544,0.0014456,0.0014456,0.0014456
30,2017.26,1.1916,0.61318,0.983,0.72372,0.6699,0.66976,0.31877,1.53883,1.26689,1.09068,0.0014258,0.0014258,0.0014258
31,2083.62,1.18828,0.6107,0.9767,0.72387,0.67447,0.69766,0.32281,1.55205,1.04855,1.05726,0.001406,0.001406,0.001406
32,2152.5,1.19186,0.6162,0.95881,0.70706,0.69131,0.65344,0.30667,1.57163,1.08845,1.1459,0.0013862,0.0013862,0.0013862
33,2219.25,1.18176,0.60998,0.97161,0.75957,0.6699,0.7152,0.34641,1.49956,1.03949,1.05477,0.0013664,0.0013664,0.0013664
34,2285.91,1.18984,0.60255,0.98115,0.67994,0.71359,0.73002,0.34317,1.48902,0.86937,1.03446,0.0013466,0.0013466,0.0013466
35,2352.45,1.16324,0.59164,0.96718,0.67288,0.66019,0.66455,0.32791,1.52866,0.91773,1.06395,0.0013268,0.0013268,0.0013268
36,2419.05,1.15954,0.59212,0.95563,0.71155,0.67476,0.71874,0.35053,1.52815,0.89659,1.05308,0.001307,0.001307,0.001307
37,2485.68,1.15386,0.5813,0.94399,0.62703,0.68932,0.66514,0.31808,1.52894,1.08672,1.0903,0.0012872,0.0012872,0.0012872
38,2552.44,1.1409,0.58115,0.95704,0.73201,0.69903,0.69641,0.33158,1.52044,0.99328,1.05728,0.0012674,0.0012674,0.0012674
39,2619.05,1.16507,0.58872,0.95848,0.71904,0.68447,0.70056,0.32275,1.51852,1.0132,1.06302,0.0012476,0.0012476,0.0012476
40,2688.16,1.13969,0.59315,0.954,0.71334,0.74272,0.72886,0.32935,1.55544,0.9155,1.05806,0.0012278,0.0012278,0.0012278
41,2754.77,1.13451,0.57101,0.95013,0.75523,0.69903,0.72422,0.34654,1.51535,0.94518,1.04884,0.001208,0.001208,0.001208
42,2821.47,1.0869,0.54707,0.93128,0.77471,0.65103,0.70345,0.33783,1.5576,0.9327,1.07271,0.0011882,0.0011882,0.0011882
43,2888.1,1.11375,0.56122,0.94404,0.70382,0.69903,0.68981,0.33133,1.50469,1.00174,1.05905,0.0011684,0.0011684,0.0011684
44,2954.9,1.10584,0.56119,0.95721,0.74815,0.68447,0.68377,0.32585,1.53264,0.99938,1.08397,0.0011486,0.0011486,0.0011486
45,3021.72,1.07564,0.54656,0.93962,0.69011,0.73301,0.71438,0.34348,1.49162,0.86517,1.06717,0.0011288,0.0011288,0.0011288
46,3088.45,1.09241,0.54979,0.93521,0.6863,0.7233,0.6948,0.3296,1.55322,1.04755,1.09874,0.001109,0.001109,0.001109
47,3155.49,1.08772,0.54478,0.92483,0.77715,0.67717,0.71866,0.33747,1.52351,0.96899,1.07441,0.0010892,0.0010892,0.0010892
48,3222.54,1.09842,0.5649,0.9325,0.72589,0.71988,0.71341,0.34614,1.51758,0.94239,1.07756,0.0010694,0.0010694,0.0010694
